Unnamed: 0,ecalP,muNraC,maeT,emiT,spaL,senoC,esruoCffO,hyr e t latnOeP,detesmujdiTA,erocSemiT,erocSspaL,ecnearroucdSnE
1,1,3,The Ohio State University,1389.891,10,3.0,,,1395.891,250.0,25,275.0
2,2,30,Univ of Calif - Berkeley,1396.241,10,1.0,1.0,,1418.241,237.3,25,262.3
3,3,9,Univ of North Carolina - Charlotte,1408.963,10,,1.0,,1428.963,231.4,25,256.4
4,4,35,Texas A & M Univ - College Station,1456.973,10,,,,1456.973,216.2,25,241.2
5,5,65,Hope College,1474.81,10,2.0,,,1478.81,204.8,25,229.8
6,6,127,Univ of Connecticut,1364.914,10,,,120.0,1484.914,201.7,25,226.7
7,7,6,California Polytechnic State Univ-SLO,1388.976,10,1.0,,120.0,1510.976,188.6,25,213.6
8,8,16,Villanova Univ,1509.413,10,4.0,,,1517.413,185.5,25,210.5
9,9,55,Univ of Missouri,1515.326,10,8.0,1.0,,1551.326,169.3,25,194.3
10,10,8,Purdue Univ - W Lafayette,1569.48,10,,,,1569.48,160.9,25,185.9
11,11,23,Kansas State Univ,1499.765,10,8.0,3.0,,1575.765,158.0,25,183.0
12,12,57,Oakland University,1568.508,10,1.0,1.0,,1590.508,151.4,25,176.4
13,13,145,Instituto Maua de Tecnologia,1580.488,10,,1.0,,1600.488,147.0,25,172.0
14,14,76,Univ of Alabama - Tuscaloosa,1459.573,10,8.0,1.0,120.0,1615.573,140.5,25,165.5
15,15,109,Temple Univ,1601.732,10,7.0,,,1615.732,140.4,25,165.4
16,16,18,Kennesaw State University,1545.116,10,18.0,2.0,,1621.116,138.1,25,163.1
17,17,45,California State Univ - Northridge,1562.82,10,1.0,3.0,,1624.82,136.5,25,161.5
18,18,14,Univ of Cincinnati,1485.276,10,7.0,2.0,120.0,1659.276,122.1,25,147.1
19,19,68,AGH Univ of Science and Technology,1482.497,10,2.0,3.0,120.0,1666.497,119.2,25,144.2
20,20,34,Colorado Mesa University,1637.232,10,2.0,2.0,,1681.232,113.3,25,138.3
21,21,26,Univ of Wisconsin - Platteville,1662.723,10,1.0,1.0,,1684.723,111.9,25,136.9
22,22,40,Universite de Sherbrooke,1647.104,10,3.0,2.0,,1693.104,108.6,25,133.6
