,Place,CarNum,Team,Time,Laps,Cones,OffCourse,PeOntal t e ryh,ATidjumseted,TimeScore,LapsScore,EnSdcuorraence
1,,89,Southern Illinois Univ - Carbondale,567.652,3,3,5,,DNF,-,6,6.0
2,,120,Oregon Inst of Tech,873.347,3,,,,DNF,-,6,6.0
3,,100,Kettering Univ,339.945,2,3,1,,DNF,-,4,4.0
4,,116,Saginaw Valley State Univ,444.301,2,3,2,,DNF,-,4,4.0
5,,36,Colorado State University,486.795,2,7,2,,DNF,-,4,4.0
6,,92,Clarkson University,186.006,1,2,,,DNF,-,2,2.0
7,,87,Univ of Georgia,190.242,1,,,,DNF,-,2,2.0
8,,80,California State Univ - Fullerton,201.632,1,1,,,DNF,-,2,2.0
9,,33,Rose Hulman Inst of Tech,0.000,0,1,,,DNF,-,0,0.0
10,,63,Duke Univ,0.000,0,,,,DNF,-,0,0.0
11,,84,Univ of British Columbia,0.000,0,,1,,DNF,-,0,0.0
12,,86,Univ of Akron,0.000,0,,,,DNF,-,0,0.0
