Unnamed: 0,ecalP,muNraC,maeT,det st suojdCA,erocS)0e3(cirP,ycaruc c A) 5 1(tsoC,g)5n1ir e(segnnigiwnaErD,o)0ir n4a (ee c Sr o cS,ytlaneP,erocS
1,1,90,Texas Tech Univ,"$14,531",22.9,13.0,14.0,39.0,,88.85
2,2,60,Univ of Illinois - Chicago,"$13,254",24.6,12.5,12.5,38.5,,88.1
3,3,20,Univ of Victoria,"$17,607",18.6,14.0,15.0,39.5,,87.14
4,4,18,Kennesaw State University,"$11,531",27.0,14.0,15.0,31.0,,86.96
5,5,83,Univ of South Florida,"$18,932",16.8,15.0,15.0,40.0,,86.82
6,6,35,Texas A & M Univ - College Station,"$16,680",19.9,12.0,13.5,39.5,,84.91
7,7,57,Oakland University,"$16,237",20.5,13.0,11.0,40.0,,84.52
8,8,104,Washington Univ - St Louis,"$20,226",15.1,14.0,15.0,40.0,,84.05
9,9,66,Univ of Michigan - Dearborn,"$17,193",19.2,13.0,12.5,39.0,,83.71
10,10,145,Instituto Maua de Tecnologia,"$18,333",17.6,13.0,13.0,40.0,,83.65
11,11,16,Villanova Univ,"$12,240",26.0,12.0,9.0,36.0,,82.99
12,12,71,Univ of Hartford,"$17,867",18.3,11.0,14.0,37.5,,80.78
13,13,6,California Polytechnic State Univ-SLO,"$18,263",17.7,10.0,13.0,40.0,,80.74
14,14,3,The Ohio State University,"$23,089",11.1,14.0,15.0,40.0,,80.13
15,15,99,Univ of North Florida,"$20,950",14.1,11.0,15.0,40.0,,80.06
16,16,24,Brown Univ,"$16,965",19.5,13.0,12.0,34.5,,79.02
17,17,40,Universite de Sherbrooke,"$16,410",20.3,12.0,15.0,31.5,,78.78
18,18,31,Liberty Univ,"$19,115",16.6,10.0,12.0,40.0,,78.57
19,19,7,Georgia Institute of Technology,"$20,578",14.6,12.0,15.0,37.0,,78.57
20,20,118,Univ of Manitoba,"$21,829",12.9,15.0,15.0,35.5,,78.36
21,21,126,Arizona State Univ - Tempe,"$21,528",13.3,11.0,13.0,40.0,,77.27
22,22,114,Lehigh Univ,"$14,755",22.5,12.0,12.0,30.5,,77.05
23,23,55,Univ of Missouri,"$19,593",15.9,11.0,15.0,35.0,,76.92
24,24,98,Univ of Nebraska - Lincoln,"$13,032",24.9,12.0,10.0,30.0,,76.91
25,25,86,Univ of Akron,"$20,001",15.4,15.0,14.0,32.5,,76.86
26,26,9,Univ of North Carolina - Charlotte,"$24,965",8.6,13.0,15.0,40.0,,76.56
